sector,wa_bin,wa_bin_id,bias,n_sb
Household & Personal Products,5.0,10,2.022222222222222,9
Household & Personal Products,5.5,11,2.4619047619047616,21
Household & Personal Products,6.0,12,,3
Household & Personal Products,6.5,13,,4
Household Durables,2.0,4,,1
Household Durables,3.0,6,,3
Household Durables,3.5,7,,3
Household Durables,4.0,8,-0.6125,8
Household Durables,4.5,9,0.44545454545454555,11
Household Durables,5.0,10,0.9285714285714284,21
Household Durables,5.5,11,2.1333333333333337,18
Household Durables,6.0,12,3.0666666666666664,6
Household Durables,7.0,14,,4
Industrial Conglomerates,1.5,3,,1
Industrial Conglomerates,2.5,5,-1.9000000000000004,5
Industrial Conglomerates,3.0,6,,2
Industrial Conglomerates,3.5,7,-0.2969696969696971,33
Industrial Conglomerates,4.0,8,0.5055555555555556,18
Industrial Conglomerates,4.5,9,0.5,28
Industrial Conglomerates,5.0,10,1.7030303030303033,33
Industrial Conglomerates,5.5,11,2.4153846153846157,26
Industrial Conglomerates,6.0,12,3.4058823529411764,17
Industrial Conglomerates,6.5,13,3.3600000000000003,5
Industrial Conglomerates,7.0,14,,4
Industrial Machinery,2.5,5,,2
Industrial Machinery,3.0,6,-2.9857142857142853,7
Industrial Machinery,3.5,7,-1.8666666666666663,9
Industrial Machinery,4.0,8,-0.835,20
Industrial Machinery,4.5,9,-0.2999999999999999,30
Industrial Machinery,5.0,10,0.6528301886792451,53
Industrial Machinery,5.5,11,1.475925925925926,54
Industrial Machinery,6.0,12,2.1156249999999996,32
Industrial Machinery,6.5,13,2.909090909090909,11
Industrial Machinery,7.0,14,,4
Integrated Oil & Gas,1.5,3,,1
Integrated Oil & Gas,2.5,5,,1
Integrated Oil & Gas,3.5,7,-2.7,5
Integrated Oil & Gas,4.0,8,-1.364705882352941,17
Integrated Oil & Gas,4.5,9,-0.7750000000000007,12
Integrated Oil & Gas,5.0,10,0.011111111111111368,9
Integrated Oil & Gas,5.5,11,-0.9538461538461538,91
Integrated Oil & Gas,6.0,12,0.9933333333333335,15
Integrated Oil & Gas,6.5,13,,2
Integrated Oil & Gas,7.0,14,,1
Interactive Media & Services,2.5,5,,1
Interactive Media & Services,3.0,6,,1
Interactive Media & Services,3.5,7,-0.4699999999999999,10
Interactive Media & Services,4.0,8,0.13571428571428568,14
Interactive Media & Services,4.5,9,0.9846153846153849,13
Interactive Media & Services,5.0,10,2.046153846153846,13
Interactive Media & Services,5.5,11,2.689473684210526,19
Interactive Media & Services,6.0,12,2.692,5
Interactive Media & Services,6.5,13,,1
Investment Banking & Brokerage,2.0,4,,4
Investment Banking & Brokerage,2.5,5,-2.22,5
Investment Banking & Brokerage,3.0,6,-1.1533333333333333,15
Investment Banking & Brokerage,3.5,7,-0.3925,40
Investment Banking & Brokerage,4.0,8,0.2935483870967741,31
Investment Banking & Brokerage,4.5,9,1.217142857142857,35
